"key","scientificName","decimalLongitude","decimalLatitude","issues","year","month","day","eventDate","country"
"3961480883","Quadrastichus erythrinae Kim, 2004",-155.799733,19.91396,"cdround",2022,10,7,"2022-10-07T17:19:00","United States of America"
"3112386701","Quadrastichus erythrinae Kim, 2004",28.291165,-25.816902,"cdround",2021,4,30,"2021-04-30T11:58:23","South Africa"
"2999097367","Quadrastichus erythrinae Kim, 2004",120.736947,21.976153,"cdround",2020,1,27,"2020-01-27T06:37:00","Chinese Taipei"
"3455159823","Quadrastichus erythrinae Kim, 2004",18.401823,-33.903348,"cdround",2020,11,11,"2020-11-11T14:36:00","South Africa"
"3961228315","Quadrastichus erythrinae Kim, 2004",-156.667477,21.001068,"cdround",2019,10,17,"2019-10-17T07:26:00","United States of America"
"2447826121","Quadrastichus erythrinae Kim, 2004",-158.202535,21.414733,"cdround",2012,8,28,"2012-08-28T10:19:00","United States of America"
"3847006260","Quadrastichus erythrinae Kim, 2004",-61.01929,14.65485,"cum",NA,NA,NA,NA,"Martinique"
"3847020575","Quadrastichus erythrinae Kim, 2004",55.53241,-21.13317,"cum",NA,NA,NA,NA,"Réunion"
"3847044013","Quadrastichus erythrinae Kim, 2004",-61.53977,16.19759,"cum",NA,NA,NA,NA,"Guadeloupe"
"3935013764","Quadrastichus erythrinae Kim, 2004",55.53241,-21.13317,"cum",NA,NA,NA,NA,"Réunion"
"3935078719","Quadrastichus erythrinae Kim, 2004",-61.53977,16.19759,"cum",NA,NA,NA,NA,"Guadeloupe"
"3935102250","Quadrastichus erythrinae Kim, 2004",-61.01929,14.65485,"cum",NA,NA,NA,NA,"Martinique"
